"filename", "language", "TypeScript", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "XML", "YAML", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\.eslintrc.cjs", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 3, 6, 59
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\.prettierrc", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\README.md", "Markdown", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 144
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\docs\TESTING.md", "Markdown", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 218
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\docs\auth-localization.md", "Markdown", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 262
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\docs\globals-css.md", "Markdown", 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 477
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\docs\react-router-error-handling.md", "Markdown", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 162
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\docs\security-tab-radio-button-issue.md", "Markdown", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 145
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\docs\vite-config.md", "Markdown", 0, 0, 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 539
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\eslint.config.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\package-lock.json", "JSON", 0, 8762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8763
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\package.json", "JSON", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\postcss.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\public\locales\ar\common.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
